dataset,outer,method,depth,n_thresholds,cv_folds,cost_complexity,ridge_penalty,lasso_penalty,val_r2,val_mse,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label,pilot_target_complexity,pilot_grid_index,pilot_min_sample_leaf,pilot_min_sample_split,n_outer_merged
auction,mean,pilot,4,,3,64.0,,,0.888503382881823,12014546.442809679,0.02938346862792966,11239765.882367626,0.8954471664866098,12623286.040423777,0.8816024140226062,13.0,full,64.0,5,26.0,52.0,5.0
auction,mean,pilot,4,,3,32.0,,,0.8878988098755292,12089338.775087817,0.031362247467040985,10860209.388738122,0.8989681036436329,12218802.59359753,0.8855438911364715,12.8,full,32.0,6,52.0,104.0,5.0
auction,mean,pilot,4,,3,24.0,,,0.8854168088013988,12359086.642187545,0.0296148300170898,10953345.670229033,0.8981382503780833,12267633.850691387,0.8844880790535408,12.4,full,24.0,7,69.0,138.0,5.0
auction,mean,pilot,4,,3,20.0,,,0.8682899738764794,14215902.473982578,0.028593826293945256,10970858.231349804,0.8980551952175244,12333011.165213877,0.8834940698467773,12.6,full,20.0,8,82.0,164.0,5.0
auction,mean,pilot,4,,3,16.0,,,0.8602829094362878,15072128.988998756,0.026074028015136662,11069191.085021257,0.8971555838176425,12498588.338338662,0.881908943277082,11.8,full,16.0,9,103.0,206.0,5.0
auction,mean,pilot,4,,3,14.0,,,0.8604469640862759,15053267.0290029,0.0243191242218017,12106677.12642239,0.8874744410446638,13254833.368803471,0.87491530976985,10.8,full,14.0,10,117.0,234.0,5.0
auction,mean,pilot,4,,3,12.0,,,0.8600737663309588,15091147.238914544,0.018007183074951142,14831491.013537403,0.862055184286314,15012742.94689222,0.8588016426094318,7.8,full,12.0,11,137.0,274.0,5.0
auction,mean,pilot,4,,3,10.0,,,0.6546715005665835,36855976.124119386,0.01686525344848628,14889913.905415062,0.861515070241138,15071091.520481398,0.8582339637184869,7.0,full,10.0,12,164.0,328.0,5.0
auction,mean,pilot,4,,3,8.0,,,0.43714351077907987,60373120.881610155,0.01475353240966792,14930674.710895544,0.8611426839705978,15034331.799356166,0.8586277081413207,5.2,full,8.0,13,205.0,410.0,5.0
auction,mean,pilot,4,,3,6.0,,,0.3384802016585011,71029783.17609483,0.00995225906372066,59942376.68202641,0.44269081408987887,60246554.34901707,0.436431408113222,4.0,full,6.0,14,273.0,546.0,5.0
auction,mean,pilot,4,,3,4.0,,,0.3313302477178108,71796037.6889372,0.0075741767883300195,70730517.99031039,0.3424690397618992,70954771.0260189,0.3378653399305069,3.0,full,4.0,15,409.0,818.0,5.0
auction,mean,pilot,4,,3,2.0,,,-0.0013276546568158402,107664670.90660086,0.004236698150634701,99518890.61452852,0.07488905351729698,99648655.94041547,0.07229966070298154,1.0,full,2.0,16,817.0,1634.0,5.0
auction,std,pilot,4,,3,1634.4,,,0.006751502993980415,525690.656062856,0.00531257381719299,457330.6495722081,0.005486302010832701,1828539.8711691878,0.024837133651001972,1.3416407864998738,full,1634.4,0,1.0,2.0,5.0
auction,std,pilot,4,,3,817.0,,,0.006751502999869755,525690.658632731,0.005942236519563191,457330.6527749781,0.005486302030837333,1828539.8656660402,0.02483713361536663,1.3038404810405297,full,817.0,1,2.4,4.8,5.0
auction,std,pilot,4,,3,408.0,,,0.007297483001177538,617224.1126939413,0.006237940741374143,464682.47240796435,0.005564565692061879,1828539.8656660395,0.02483713361536663,0.8944271909999159,full,408.0,2,5.0,10.0,5.0
auction,std,pilot,4,,3,204.0,,,0.007929393301725774,645265.3515093083,0.0048211525154962034,519405.649456175,0.005912858008147961,1736721.2527766258,0.024134916849435153,1.0954451150103321,full,204.0,3,9.0,18.0,5.0
auction,std,pilot,4,,3,102.0,,,0.007942166881176618,646693.5674715558,0.005582987961502886,406084.1698615273,0.005267959078409907,1616840.507602826,0.023027989823372338,0.8944271909999157,full,102.0,4,17.0,34.0,5.0
auction,std,pilot,4,,3,64.0,,,0.008922691408077726,799957.1243832256,0.006483420960369761,419077.98270971916,0.00543445032521834,1650014.4095225153,0.020411603686830558,0.0,full,64.0,5,26.0,52.0,5.0
auction,std,pilot,4,,3,32.0,,,0.0061767083327436256,492084.4961596311,0.007319207825043363,882961.8891434475,0.009195107808436567,1260534.9111124573,0.015821268585762046,0.44721359549995804,full,32.0,6,52.0,104.0,5.0
auction,std,pilot,4,,3,24.0,,,0.004496163219191598,270218.5136288007,0.006459766210353769,619382.6281613122,0.006386160753065761,2720215.3208372183,0.03075253425559337,0.8944271909999157,full,24.0,7,69.0,138.0,5.0
