dataset,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,train_r2,test_r2,train_mse,test_mse,loss,train_time_s,n_leaves,outer,n_outer_merged,cost_complexity,ridge_penalty,lasso_penalty,pilot_grid_index,pilot_target_complexity,pilot_min_sample_leaf,pilot_min_sample_split,threshold_label
california_housing,greedy,4,0.003,0.01,3,20,quantile,0.0,0.694351203956961,4071559029.142331,0.6991384559492632,0.6942775482060518,4008546153.4099984,4069929664.3607836,76459768800418.02,0.2873034477233886,7.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.003,0.1,3,20,quantile,0.0,0.6244212122851709,5003737714.444658,0.6269552289097551,0.6223015623696266,4970429696.018323,5028435225.430166,92512403361587.55,0.2983184814453125,7.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.005,1e-05,3,20,quantile,0.0,0.7165144285229352,3776033293.250697,0.7218232166150444,0.7140583770088564,3706287354.7676115,3806523343.8694506,68705589355276.46,0.2993007659912109,7.4,mean,5,,,,,,,,20
california_housing,greedy,4,0.005,0.0001,3,20,quantile,0.0,0.7146348566138673,3801384247.9301405,0.7218556869030224,0.7144338513829608,3705860395.670729,3801484194.988416,68969807394445.3,0.2996215343475342,7.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.005,0.001,3,20,quantile,0.0,0.7083278467165687,3885291565.723573,0.7117032736743671,0.70805479093067,3841248036.8179817,3885961137.130806,71279547538069.44,0.29373097419738764,6.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.005,0.01,3,20,quantile,0.0,0.68020149422325,4260475962.6765203,0.6797530639984275,0.6760078066466673,4266864078.365813,4313895218.937864,78893555036471.47,0.28555369377136225,4.2,mean,5,,,,,,,,20
california_housing,greedy,4,0.005,0.1,3,20,quantile,0.0,0.622091481752693,5034493420.526426,0.6276127433565477,0.6226971783635873,4961848085.957744,5022535609.199632,95608181412712.6,0.30149011611938475,6.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.008,1e-05,3,20,quantile,0.0,0.7054655708912889,3923571474.4239783,0.710989415733754,0.7062708714329501,3850887292.269,3909561681.190099,72749047125789.56,0.2946535587310791,5.6,mean,5,,,,,,,,20
california_housing,greedy,4,0.008,0.0001,3,20,quantile,0.0,0.7037518327302684,3946305360.684729,0.7099828529400026,0.7055439731267616,3864012483.248555,3920193349.1684365,73018261920355.38,0.2997719764709472,5.4,mean,5,,,,,,,,20
california_housing,greedy,4,0.008,0.001,3,20,quantile,0.0,0.7006856151681514,3987165953.8860154,0.7050607378493625,0.7015936531299023,3929755524.8677855,3972073416.1815796,74737382369137.02,0.2917426586151123,5.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.008,0.01,3,20,quantile,0.0,0.6712140821477405,4380003912.877661,0.677867542981051,0.6746769388754671,4292079937.672026,4331366128.71151,81520274835343.47,0.2808342933654785,4.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.008,0.1,3,20,quantile,0.0,0.6196253447604069,5067754986.041184,0.6201999604540094,0.6193182008907797,5060512701.230189,5069790662.9892025,98382272792971.67,0.29481935501098633,2.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.01,1e-05,3,20,quantile,0.0,0.6983108382854011,4018848083.6112137,0.7056883804836842,0.70089673740634,3921396141.6627083,3981472729.840065,75034053893079.22,0.2969354152679443,5.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.01,0.0001,3,20,quantile,0.0,0.6971452631685174,4034462220.293457,0.7063182478185938,0.7016132114826445,3912976392.2070985,3971978542.0293837,75283843026590.53,0.3010696411132812,5.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.01,0.001,3,20,quantile,0.0,0.6932454002912001,4086135127.130366,0.6981582334564801,0.6938186575561139,4021805316.1224823,4075441990.2725573,76862590026160.84,0.2897275447845459,4.4,mean,5,,,,,,,,20
california_housing,greedy,4,0.01,0.01,3,20,quantile,0.0,0.6603657540189023,4525085181.278651,0.665123117377612,0.6616009613987188,4462026386.226085,4504898921.718839,82918819001927.16,0.28151760101318357,2.8,mean,5,,,,,,,,20
california_housing,greedy,4,0.01,0.1,3,20,quantile,0.0,0.6195313985588372,5068861636.753166,0.6201999604540094,0.6193182008907797,5060512701.230189,5069790662.9892025,99253505321824.55,0.29878902435302734,2.0,mean,5,,,,,,,,20
california_housing,greedy,4,0.03,1e-05,3,20,quantile,0.0,0.6355264183337315,4855518215.202158,0.6370038422441192,0.6355089172759875,4836530793.976042,4852057310.71045,85598447608151.67,0.26447868347167963,1.0,mean,5,,,,,,,,20
